11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'CEGUI/PopupMenu' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'CEGUI/PopupMenu' windows added. (0x41bd9b0)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'CEGUI/MenuItem' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'CEGUI/MenuItem' windows added. (0x415df90)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'CEGUI/MultiColumnList' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'CEGUI/MultiColumnList' windows added. (0x41592b0)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'CEGUI/MultiLineEditbox' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'CEGUI/MultiLineEditbox' windows added. (0x4159370)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'CEGUI/ProgressBar' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'CEGUI/ProgressBar' windows added. (0x4125380)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'CEGUI/ScrollablePane' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'CEGUI/ScrollablePane' windows added. (0x415e4e0)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'CEGUI/Scrollbar' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'CEGUI/Scrollbar' windows added. (0x415ebc0)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'CEGUI/Slider' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'CEGUI/Slider' windows added. (0x4124ee0)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'CEGUI/Spinner' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'CEGUI/Spinner' windows added. (0x3fdfd90)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'CEGUI/TabButton' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'CEGUI/TabButton' windows added. (0x41c14e0)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'CEGUI/TabControl' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'CEGUI/TabControl' windows added. (0x41bb7f0)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'CEGUI/Thumb' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'CEGUI/Thumb' windows added. (0x415f090)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'CEGUI/Titlebar' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'CEGUI/Titlebar' windows added. (0x415a780)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'CEGUI/Tooltip' windows.
